"Name","From","To","Shadow Ministers"
"Sharman Stone",06/12/2007,22/09/2008,"Shadow Minister for Environment, Heritage, the Arts and Indigenous Affairs"
"Sharman Stone",22/09/2008,08/12/2009,"Shadow Minister for Immigration and Citizenship"
"Sharman Stone",08/12/2009,14/09/2010,"Shadow Minister for the Status of Women"
"Simon Crean",20/10/1998,23/11/2001,"Deputy Leader of the Opposition"
"Simon Crean",08/12/2003,25/10/2004,"Deputy Manager of Opposition Business in the House"
"Simon Crean",23/11/2001,08/12/2003,"Leader of the Opposition"
"Simon Crean",20/03/1996,21/10/1998,"Manager of Opposition Business"
"Simon Crean",20/03/1996,21/10/1998,"Shadow Minister for Industry and Regional Development"
"Simon Crean",24/06/2005,10/12/2006,"Shadow Minister for Regional Development"
"Simon Crean",10/12/2006,06/12/2007,"Shadow Minister for Trade and Regional Development"
"Simon Crean",26/10/2004,24/06/2005,"Shadow Minister Trade"
"Simon Crean",20/10/1998,23/11/2001,"Shadow Treasurer"
"Simon Crean",08/12/2003,25/10/2004,"Shadow Treasurer"
"Sophie Mirabella",22/09/2008,08/12/2009,"Shadow Minister for Early Childhood Education, Childcare, Women and Youth"
"Sophie Mirabella",14/09/2010,18/09/2013,"Shadow Minister for Innovation, Industry and Science"
"Sophie Mirabella",08/12/2009,14/09/2010,"Shadow Minister for Innovation, Industry, Science and Research"
"Sophie Mirabella",06/12/2007,22/09/2008,"Shadow Parliamentary Secretary for Local Government"
"Stephen Martin",20/10/1998,23/11/2001,"Shadow Minister for Defence"
"Stephen Martin",27/03/1997,21/10/1998,"Shadow Minister for Small Business and Customs"
"Stephen Martin",20/03/1996,21/10/1998,"Shadow Minister for Sport and Tourism"
"Stephen Martin",23/11/2001,23/08/2002,"Shadow Minister for Trade and Tourism"
"Stephen Martin",20/03/1996,27/03/1997,"Shadow Minister for Veterans' Affairs"
"Stephen Smith",20/10/1998,23/11/2001,"Shadow Minister for Communications"
"Stephen Smith",10/12/2006,06/12/2007,"Shadow Minister for Education and Training"
"Stephen Smith",23/11/2001,02/07/2003,"Shadow Minister for Health and Ageing"
"Stephen Smith",08/12/2003,25/10/2004,"Shadow Minister for Immigration"
"Stephen Smith",24/06/2005,10/12/2006,"Shadow Minister for Industry, Infrastructure and Industrial Relations"
"Stephen Smith",27/03/1997,21/10/1998,"Shadow Minister for Resources and Energy"
"Stephen Smith",20/03/1996,27/03/1997,"Shadow Minister for Trade"
"Stephen Smith",26/10/2004,24/06/2005,"Shadow Minister Industry, Infrastructure and Industrial Relations"
"Steven Ciobo",22/09/2008,08/12/2009,"Shadow Minister for Small Business, Independent Contractors, Tourism and the Arts"
"Steven Ciobo",06/12/2007,22/09/2008,"Shadow Minister for Small Business, the Service Economy and Tourism"
"Steven Ciobo",08/12/2009,14/09/2010,"Shadow Minister for Youth and Sport"
"Stuart Robert",14/09/2010,18/09/2013,"Shadow Minister for Defence Science, Technology and Personnel"
"Stuart Robert",08/12/2009,14/09/2010,"Shadow Parliamentary Secretary for Defence"
"Sussan Ley",08/12/2009,14/09/2010,"Shadow Assistant Treasurer"
"Sussan Ley",14/09/2010,18/09/2013,"Shadow Minister for Childcare and Early Childhood Learning"
"Sussan Ley",14/09/2010,18/09/2013,"Shadow Minister for Employment Participation"
"Sussan Ley",06/12/2007,22/09/2008,"Shadow Minister for Housing"
"Sussan Ley",22/09/2008,08/12/2009,"Shadow Minister for Justice and Customs"
"Sussan Ley",06/12/2007,22/09/2008,"Shadow Minister for Status of Women"
"Tanya Plibersek",26/10/2004,24/06/2005,"Shadow Minister Assisting the Leader on the Status of Women"
"Tanya Plibersek",24/06/2005,10/12/2006,"Shadow Minister for Childcare"
"Tanya Plibersek",10/12/2006,06/12/2007,"Shadow Minister for Human Services, Housing, Youth and Women"
"Tanya Plibersek",24/06/2005,10/12/2006,"Shadow Minister for Women"
"Tanya Plibersek",26/10/2004,24/06/2005,"Shadow Minister for Work, Family and Community"
"Tanya Plibersek",24/06/2005,10/12/2006,"Shadow Minister for Youth"
"Tanya Plibersek",26/10/2004,24/06/2005,"Shadow Minister for Youth and Early Childhood Education"
"Ted Grace",20/03/1996,21/10/1998,"Opposition Whip"
"Teresa Gambaro",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for Citizenship and Settlement"
"Teresa Gambaro",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for International Development Assistance"
"The Hon Andrew Robb AO MP",03/03/2011,18/09/2013,"Chairman of the Coalition Policy Development Committee"
"The Hon Andrew Robb AO MP",03/03/2011,18/09/2013,"Shadow Minister for Finance, Deregulation and Debt Reduction"
"The Hon Bob Baldwin MP",03/03/2011,18/09/2013,"Shadow Minister for Tourism"
"The Hon Bob Baldwin MP",03/03/2011,18/09/2013,"Shadow Minister Regional Development"
"The Hon Bronwyn Bishop MP",03/03/2011,18/09/2013,"Shadow Minister for Seniors"
"The Hon Bronwyn Bishop MP",03/03/2011,18/09/2013,"Shadow Special Minister of State"
"The Hon Bruce Billson MP",03/03/2011,18/09/2013,"Shadow Minister for Small Business, Competition Policy and Consumer Affairs"
"The Hon Christopher Pyne MP",03/03/2011,18/09/2013,"Manager of Opposition Business in the House"
"The Hon Christopher Pyne MP",03/03/2011,18/09/2013,"Shadow Minister for Education, Apprenticeships and Training"
"The Hon Greg Hunt MP",03/03/2011,18/09/2013,"Shadow Minister for Climate Action, Environment and Heritage"
"The Hon Ian Macfarlane MP",03/03/2011,18/09/2013,"Shadow Minister for Energy and Resources"
"The Hon Joe Hockey MP",03/03/2011,18/09/2013,"Shadow Treasurer"
"The Hon John Cobb MP",03/03/2011,18/09/2013,"Shadow Minister for Agriculture and Food Security"
"The Hon Julie Bishop MP",03/03/2011,18/09/2013,"Deputy Leader of the Opposition"
"The Hon Julie Bishop MP",03/03/2011,18/09/2013,"Shadow Minister for Foreign Affairs"
"The Hon Julie Bishop MP",03/03/2011,18/09/2013,"Shadow Minister for Trade"
"The Hon Kevin Andrews MP",03/03/2011,18/09/2013,"Shadow Minister for Families, Housing and Human Services"
"The Hon Malcolm Turnbull",03/03/2011,18/09/2013,"Shadow Minister for Communications and Broadband"
"The Hon Peter Dutton MP",03/03/2011,18/09/2013,"Shadow Minister for Health and Ageing"
"The Hon Sussan Ley MP",03/03/2011,18/09/2013,"Shadow Minister for Childcare and Early Childhood Learning"
"The Hon Sussan Ley MP",03/03/2011,18/09/2013,"Shadow Minister for Employment Participation"
"The Hon Teresa Gambaro MP",03/03/2011,18/09/2013,"Shadow Parliamentary Secretary for Citizenship and Settlement"
"The Hon Teresa Gambaro MP",03/03/2011,18/09/2013,"Shadow Parliamentary Secretary for International Development Assistance"
"The Hon Warren Truss MP",03/03/2011,18/09/2013,"Leader of The Nationals"
"The Hon Warren Truss MP",03/03/2011,18/09/2013,"Shadow Minister for Infrastructure and Transport"
"Tony Abbott",01/12/2009,18/09/2013,"Leader of the Opposition"
"Tony Abbott",06/12/2007,22/09/2008,"Shadow Minister for Families, Community Services, Indigenous Affairs and the Voluntary Sector"
"Tony Abbott",22/09/2008,08/12/2009,"Shadow Minister for Families, Housing, Community Services and Indigenous Affairs"
"Tony Burke",24/06/2005,10/12/2006,"Shadow Minister for Immigration"
"Tony Burke",10/12/2006,06/12/2007,"Shadow Minister for Immigration, Integration and Citizenship"
"Tony Burke",26/10/2004,24/06/2005,"Shadow Minister for Small Business"
"Tony Smith",14/09/2010,18/09/2013,"Deputy Chairman , Coalition Policy Development Committee"
"Tony Smith",22/09/2008,08/12/2009,"Shadow Assistant Treasurer"
"Tony Smith",08/12/2009,14/09/2010,"Shadow Minister for Broadband, Communications and the Digital Economy"
"Tony Smith",06/12/2007,22/09/2008,"Shadow Minister for Education, Apprenticeships and Training"
"Tony Smith",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for Tax Reform"
"Warren Snowdon",23/11/2001,23/08/2002,"Parliamentary Secretary to the Shadow Minister for Northern Australia and the Territories"
"Warren Snowdon",08/12/2003,25/10/2004,"Shadow Parliamentary Secretary (Northern Australia and Reconciliation)"
"Warren Snowdon",23/08/2002,08/12/2003,"Shadow Parliamentary Secretary (Northern Australia and the Territories)"
"Warren Snowdon",26/10/2004,06/12/2007,"Shadow Parliamentary Secretary for Northern Australia and Indigenous Affairs"
"Warren Truss",22/09/2008,18/09/2013,"Leader of the Nationals"
"Warren Truss",14/09/2010,18/09/2013,"Shadow Minister for Infrastructure and Transport"
"Warren Truss",06/12/2007,22/09/2008,"Shadow Minister for Infrastructure and Transport and Local Government"
"Warren Truss",22/09/2008,14/09/2010,"Shadow Minister for Trade, Transport, Regional Development and Local Government"
"Wayne Swan",23/11/2001,02/07/2003,"Manager of Opposition Business in the House"
"Wayne Swan",20/10/1998,01/12/2000,"Shadow Minister for Family and Community Services"
"Wayne Swan",17/02/2001,25/10/2004,"Shadow Minister for Family and Community Services"
"Wayne Swan",26/10/2004,06/12/2007,"Shadow Treasurer"
Bill Shorten MP,13/10/2013,,Leader of the Opposition
Bill Shorten MP,06/12/2017,,"Shadow Minister for Indigenous Affairs and Aboriginal and Torres Strait Islanders (House)"
Tanya Plibersek MP,18/10/2013,,Deputy Leader of the Opposition
Tanya Plibersek MP,18/10/2013,06/12/2017,Shadow Minister for Foreign Affairs and International Development
Tanya Plibersek MP,06/12/2017,,Shadow Minister for Education and Training
Tanya Plibersek MP,06/12/2017,,Shadow Minister for Women
Tanya Plibersek MP,06/12/2017,,"Shadow Minister for Skills, TAFE and Apprenticeships (House)"
Tanya Plibersek MP,06/12/2017,,Shadow Minister for Foreign Affairs (House)
Tanya Plibersek MP,06/12/2017,,Shadow Minister for International Development and the Pacific (House)
Senator Penny Wong,18/10/2013,,Leader of the Opposition in the Senate
Senator Penny Wong,18/10/2013,06/12/2017,Shadow Minister for Trade and Investment
Senator Penny Wong,06/12/2017,,Shadow Minister for Foreign Affairs
Senator Penny Wong,06/12/2017,21/08/2018,Shadow Attorney-General (Senate)
Senator Penny Wong,06/12/2017,21/08/2018,Shadow Minister for National Security (Senate)
Senator Penny Wong,06/12/2017,21/08/2018,Shadow Minister for Justice (Senate)
Senator Penny Wong,21/08/2018,,Shadow Minister for Defence (Senate)
Senator Stephen Conroy,18/10/2013,06/12/2017,Deputy Leader of the Opposition in the Senate
Senator Stephen Conroy,18/10/2013,06/12/2017,Shadow Minister for Defence
Chris Bowen MP,18/10/2013,,Shadow Treasurer
Chris Bowen MP,06/12/2017,21/08/2018,Acting Shadow Minister for Small Business and Financial Services
Chris Bowen MP,21/08/2018,,Shadow Minister for Small Business
Tony Burke MP,18/10/2013,06/12/2017,Shadow Minister for Finance
Tony Burke MP,18/10/2013,,Manager of Opposition Business (House)
Tony Burke MP,06/12/2017,,Shadow Minister for Environment and Water
Tony Burke MP,06/12/2017,,Shadow Minister for Citizenship and Multicultural Australia
Tony Burke MP,06/12/2017,,Shadow Minister for the Arts
Mark Dreyfus QC MP,18/10/2013,,Shadow Attorney General
Mark Dreyfus QC MP,18/10/2013,06/12/2017,Shadow Minister for the Arts
Mark Dreyfus QC MP,18/10/2013,,Deputy Manager of Opposition Business (House)
Mark Dreyfus QC MP,06/12/2017,,Shadow Minister for National Security
Senator Kim Carr,18/10/2013,06/12/2017,Shadow Minister Assisting the Leader for Science
Senator Kim Carr,18/10/2013,06/12/2017,"Shadow Minister for Higher Education, Research, Innovation and Industry"
Senator Kim Carr,06/12/2017,,"Shadow Minister for Innovation, Industry, Science and Research"
Senator Kim Carr,06/12/2017,,Shadow Minister for Trade and Investment (Senate)
Senator Kim Carr,06/12/2017,,Shadow Minister for Trade in Services (Senate)
Senator Kim Carr,06/12/2017,,Shadow Minister for Immigration and Border Protection (Senate)
Anthony Albanese MP,18/10/2013,06/12/2017,Shadow Minister for Infrastructure and Transport
Anthony Albanese MP,18/10/2013,,Shadow Minister for Tourism
Anthony Albanese MP,06/12/2017,,"Shadow Minister for Infrastructure, Transport, Cities and Regional Development"
Mark Butler MP,18/10/2013,06/12/2017,"Shadow Minister for Environment, Climate Change and Water"
Mark Butler MP,06/12/2017,,Shadow Minister for Climate Change and Energy
Jason Clare MP,18/10/2013,06/12/2017,Shadow Minister for Communications
Jason Clare MP,06/12/2017,,Shadow Minister for Resources and Northern Australia
Jason Clare MP,06/12/2017,,Shadow Minister for Trade and Investment
Kate Ellis MP,18/10/2013,06/12/2017,Shadow Minister for Education
Kate Ellis MP,18/10/2013,06/12/2017,Shadow Minister for Early Childhood
Joel Fitzgibbon MP,18/10/2013,06/12/2017,Shadow Minister for Agriculture
Joel Fitzgibbon MP,06/12/2017,,"Shadow Minister for Agriculture, Fisheries and Forestry"
Joel Fitzgibbon MP,06/12/2017,,Shadow Minister for Rural and Regional Australia
Gary Gray AO MP,18/10/2013,06/12/2017,Shadow Minister for Resources
Gary Gray AO MP,18/10/2013,06/12/2017,Shadow Minister for Northern Australia
Gary Gray AO MP,18/10/2013,06/12/2017,Shadow Special Minister of State
Catherine King MP,18/10/2013,06/12/2017,Shadow Minister for Health
Catherine King MP,06/12/2017,,Shadow Minister for Health and Medicare
Jenny Macklin MP,18/10/2013,06/12/2017,Shadow Minister for Families and Payments
Jenny Macklin MP,18/10/2013,06/12/2017,Shadow Minister for Disability Reform
Jenny Macklin MP,06/12/2017,21/08/2018,Shadow Minister for Disability and Carers (House)
Jenny Macklin MP,06/12/2017,21/08/2018,Shadow Minister for Families and Social Services
Jenny Macklin MP,06/12/2017,21/08/2018,Shadow Minister for Housing and Homelessness
Richard Marles MP,18/10/2013,06/12/2017,Shadow Minister for Immigration and Border Protection
Richard Marles MP,06/12/2017,,Shadow Minister for Defence
Shayne Neumann MP,18/10/2013,06/12/2017,Shadow Minister for Indigenous Affairs
Shayne Neumann MP,18/10/2013,06/12/2017,Shadow Minister for Ageing
Shayne Neumann MP,06/12/2017,,Shadow Minister for Immigration and Border Protection
Brendan O’Connor MP,18/10/2013,,Shadow Minister for Employment and Workplace Relations
Bernie Ripoll MP,18/10/2013,06/12/2017,Shadow Minister Assisting the Leader for Small Business
Bernie Ripoll MP,18/10/2013,06/12/2017,Shadow Minister for Financial Services and Superannuation
Bernie Ripoll MP,18/10/2013,06/12/2017,Shadow Minister for Sport
Senator Claire Moore,18/10/2013,,Shadow Minister for Women
Senator Claire Moore,18/10/2013,06/12/2017,Manager of Opposition Business (Senate)
Senator Claire Moore,18/10/2013,06/12/2017,Shadow Minister for Carers
Senator Claire Moore,18/10/2013,06/12/2017,Shadow Minister for Communities
Senator Claire Moore,06/12/2017,,Shadow Minister for International Development and the Pacific
Senator Claire Moore,06/12/2017,21/08/2018,Shadow Minister for Climate Change and Energy (Senate)
Senator Claire Moore,06/12/2017,,Shadow Minister for Resources and Northern Australia (Senate)
Senator Claire Moore,06/12/2017,,Shadow Minister Assisting for Resources (Senate)
Senator Claire Moore,21/08/2018,,Shadow Minister for Preventing Family Violence (Senate)
Senator Don Farrell,18/10/2013,06/12/2017,Shadow Minister for the Centenary of ANZAC
Senator Don Farrell,18/10/2013,06/12/2017,Shadow Minister for Veterans’ Affairs
Senator Don Farrell,06/12/2017,,Deputy Leader of the Opposition in the Senate
Senator Don Farrell,06/12/2017,,Shadow Special Minister of State
Senator Don Farrell,06/12/2017,,Shadow Minister for Sport
Senator Don Farrell,06/12/2017,21/08/2018,"Shadow Minister for Infrastructure, Transport, Cities and Regional Development (Senate)"
Senator Don Farrell,06/12/2017,21/08/2018,"Shadow Minister for Regional Services, Territories and Local Government (Senate)"
Senator Don Farrell,06/12/2017,21/08/2018,Shadow Minister for Defence (Senate)
Senator Don Farrell,06/12/2017,,Shadow Minister for Veterans' Affairs (Senate)
Senator Don Farrell,06/12/2017,,Shadow Minister for Defence Personnel (Senate)
Senator Don Farrell,06/12/2017,,Shadow Minister for Finance (Senate)
Senator Don Farrell,21/08/2018,,Shadow Attorney-General (Senate)
Senator Don Farrell,21/08/2018,,Shadow Minister for National Security (Senate)
Senator Don Farrell,21/08/2018,,Shadow Minister for Justice (Senate)
David Feeney MP,18/10/2013,06/12/2017,Shadow Minister for Justice
David Feeney MP,18/10/2013,06/12/2017,Shadow Assistant Minister for Defence
Julie Collins MP,18/10/2013,06/12/2017,Shadow Minister for Regional Development and Local Government
Julie Collins MP,18/10/2013,06/12/2017,Shadow Minister for Employment Services
Julie Collins MP,06/12/2017,,Shadow Minister for Ageing and Mental Health
Dr Andrew Leigh MP,18/10/2013,,Shadow Assistant Treasurer
Dr Andrew Leigh MP,18/10/2013,06/12/2017,Shadow Minister for Competition
Dr Andrew Leigh MP,06/12/2017,,Shadow Minister for Competition and Productivity
Dr Andrew Leigh MP,06/12/2017,,Shadow Minister for Charities and Not-for-Profits
Dr Andrew Leigh MP,06/12/2017,,"Shadow Minister for Innovation, Industry, Science and Research (House)"
Dr Andrew Leigh MP,06/12/2017,,Shadow Minister for Trade in Services
Sharon Bird MP,18/10/2013,06/12/2017,Shadow Minister for Vocational Education
Michelle Rowland MP,18/10/2013,06/12/2017,Shadow Assistant Minister for Communications
Michelle Rowland MP,18/10/2013,06/12/2017,Shadow Minister for Citizenship and Multiculturalism
Michelle Rowland MP,06/12/2017,,Shadow Minister for Communications
Melissa Parke MP,18/10/2013,06/12/2017,Shadow Assistant Minister for Health
Senator Jan McLucas,18/10/2013,06/12/2017,Shadow Minister for Mental Health
Senator Jan McLucas,18/10/2013,06/12/2017,Shadow Minister for Housing and Homelessness
Senator Doug Cameron,18/10/2013,,Shadow Minister for Human Services
Senator Doug Cameron,06/12/2017,,"Shadow Minister for Skills, TAFE and Apprenticeships"
Senator Doug Cameron,06/12/2017,,Shadow Treasurer (Senate)
Senator Doug Cameron,06/12/2017,,Shadow Assistant Treasurer (Senate)
Senator Doug Cameron,06/12/2017,,Shadow Minister for Competition and Productivity (Senate)
Senator Doug Cameron,06/12/2017,,Shadow Minister for Charities and Not-for-profits (Senate)
Senator Doug Cameron,06/12/2017,,Shadow Minister for the Digital Economy (Senate)
Senator Doug Cameron,06/12/2017,21/08/2018,Shadow Minister for Consumer Affairs (Senate)
Senator Doug Cameron,06/12/2017,,Shadow Minister for Housing and Homelessness
Senator Doug Cameron,06/12/2017,,Shadow Minister for Families and Social Services (Senate)
Senator Doug Cameron,06/12/2017,,Shadow Minister for Employment and Workplace Relations (Senate)
Senator Doug Cameron,06/12/2017,,"Shadow Minister for Employment Services, Workforce Participation and Future of Work (Senate)"
Senator Doug Cameron,06/12/2017,21/08/2018,Acting Shadow Minister for Small Business and Financial Services (Senate)
Senator Doug Cameron,21/08/2018,,Shadow Minister for Small Business (Senate)
Julie Owens MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary for Small Business
Julie Owens MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary for Education
Julie Owens MP,06/12/2017,,Shadow Assistant Minister for Citizenship and Multicultural Australia
Julie Owens MP,06/12/2017,,Shadow Assistant Minister for Small Business
Senator Jacinta Collins,18/10/2013,18/02/2019,Shadow Cabinet Secretary
Senator Jacinta Collins,18/10/2013,21/08/2018,Shadow Parliamentary Secretary to the Leader of the Opposition
Senator Jacinta Collins,06/12/2017,18/02/2019,Shadow Minister for Education and Training (Senate)
Senator Jacinta Collins,06/12/2017,18/02/2019,Shadow Minister for Citizenship and Multicultural Australia (Senate)
Senator Jacinta Collins,06/12/2017,18/02/2019,Shadow Minister for the Arts (Senate)
Senator Jacinta Collins,06/12/2017,18/02/2019,Shadow Assistant Minister for Citizenship and Multicultural Australia
Senator Jacinta Collins,06/12/2017,21/08/2018,Acting Manager of Opposition Business in the Senate
Senator Jacinta Collins,21/08/2018,18/02/2019,Manager of Opposition Business in the Senate
Senator Jacinta Collins,06/12/2017,18/02/2019,Shadow Minister for Early Childhood Education and Development (Senate)
Michael Danby MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary to the Leader of the Opposition
Michael Danby MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary for the Arts
Dr Jim Chalmers MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary to the Leader of the Opposition
Dr Jim Chalmers MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary for Trade and Investment
Dr Jim Chalmers MP,06/12/2017,,Shadow Special Minister of State (House)
Dr Jim Chalmers MP,06/12/2017,,Shadow Minister for Sport (House)
Dr Jim Chalmers MP,06/12/2017,,Shadow Minister for Finance
Matt Thistlethwaite MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary for Foreign Affairs
Matt Thistlethwaite MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary for Immigration
Matt Thistlethwaite MP,06/12/2017,,Shadow Assistant Minister for Treasury
Matt Thistlethwaite MP,06/12/2017,,Shadow Assistant Minister for an Australian Head of State
Gai Brodtmann MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary for Defence
Gai Brodtmann MP,06/12/2017,,Shadow Assistant Minister for Cyber Security and Defence
Stephen Jones MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary for Regional Development and Infrastructure
Stephen Jones MP,06/12/2017,,"Shadow Minister for Regional Services, Territories and Local Government"
Stephen Jones MP,06/12/2017,,Shadow Minister for Regional Communications
Warren Snowdon MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary for External Territories
Warren Snowdon MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary for Northern Australia
Warren Snowdon MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary for Indigenous Affairs
Warren Snowdon MP,06/12/2017,,Shadow Assistant Minister for External Territories
Warren Snowdon MP,06/12/2017,,Shadow Assistant Minister for the Centenary of ANZAC
Warren Snowdon MP,06/12/2017,,Shadow Assistant Minister for Indigenous Health
Warren Snowdon MP,06/12/2017,,Shadow Assistant Minister for Northern Australia
Ed Husic MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary to the Shadow Treasurer
Ed Husic MP,06/12/2017,,Shadow Minister for the Digital Economy
Ed Husic MP,06/12/2017,21/08/2018,"Shadow Minister for Employment Services, Workforce Participation and Future of Work"
Ed Husic MP,21/08/2018,,Shadow Minister for Human Services
Senator Louise Pratt,18/10/2013,06/12/2017,"Shadow Parliamentary Secretary for the Environment, Climate Change and Water"
Senator Louise Pratt,06/12/2017,,Shadow Minister for Environment and Water (Senate)
Senator Louise Pratt,06/12/2017,21/08/2018,Shadow Assistant Minister for Families and Communities
Senator Louise Pratt,21/08/2018,,Shadow Minister for Young Australians and Youth Affairs (Senate)
Senator Louise Pratt,21/08/2018,,Shadow Assistant Minister for Universities
Senator Louise Pratt,21/08/2018,,Shadow Assistant Minister for Equality
Senator Louise Pratt,18/02/2019,,Shadow Minister for Citizenship and Multicultural Australia (Senate)
Senator Louise Pratt,18/02/2019,,Shadow Minister for the Arts (Senate)
Tony Zappia MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary for Manufacturing
Tony Zappia MP,06/12/2017,,Shadow Assistant Minister for Medicare
Senator Lisa Singh,18/10/2013,06/12/2017,Shadow Parliamentary Secretary to the Shadow Attorney General
Amanda Rishworth MP,18/10/2013,06/12/2017,Shadow Parliamentary Secretary for Health
Amanda Rishworth MP,06/12/2017,,Shadow Minister for Veterans' Affairs
Amanda Rishworth MP,06/12/2017,,Shadow Minister for Defence Personnel
Amanda Rishworth MP,06/12/2017,,Shadow Minister for Early Childhood Education and Development
Senator Carol Brown,18/10/2013,06/12/2017,Shadow Parliamentary Secretary for Families and Payments
Senator Carol Brown,06/12/2017,,Shadow Minister for Disability and Carers
Senator Carol Brown,06/12/2017,,Shadow Minister for Tourism (Senate)
Senator Carol Brown,06/12/2017,,"Shadow Minister for Agriculture, Fisheries and Forestry (Senate)"
Senator Carol Brown,06/12/2017,,Shadow Minister for Rural and Regional Australia (Senate)
Senator Helen Polley,18/10/2013,06/12/2017,Shadow Parliamentary Secretary for Aged Care
Senator Helen Polley,06/12/2017,,"Shadow Assistant Minister to the Leader (Tasmania)"
Senator Helen Polley,06/12/2017,,Shadow Minister for Health and Medicare (Senate)
Senator Helen Polley,06/12/2017,,Shadow Minister for Ageing and Mental Health (Ageing)
Senator Helen Polley,06/12/2017,,Shadow Assistant Minister for Ageing
Senator Patrick Dodson,06/12/2017,,"Shadow Minister for Indigenous Affairs and Aboriginal and Torres Strait Islanders (Senate)"
Senator Patrick Dodson,06/12/2017,,"Shadow Assistant Minister for Indigenous Affairs and Aboriginal and Torres Strait Islanders"
Senator Patrick Dodson,06/12/2017,,Shadow Minister for Regional Communications (Senate)
Terri Butler MP,06/12/2017,21/08/2018,"Shadow Assistant Minister for Preventing Family Violence"
Terri Butler MP,06/12/2017,21/08/2018,"Shadow Assistant Minister for Universities"
Terri Butler MP,06/12/2017,21/08/2018,"Shadow Assistant Minister for Equality"
Terri Butler MP,21/08/2018,,Shadow Minister for Young Australians and Youth Affairs
Terri Butler MP,21/08/2018,,"Shadow Minister for Employment Services, Workforce Participation and Future of Work"
Andrew Giles MP,06/12/2017,,"Shadow Assistant Minister for Schools"
Tim Hammond MP,06/12/2017,21/08/2018,Shadow Minister for Consumer Affairs
Tim Hammond MP,06/12/2017,21/08/2018,Shadow Minister Assisting for Resources
Linda Burney MP,06/12/2017,21/08/2018,Shadow Minister for Human Services
Linda Burney MP,21/08/2018,,Shadow Minister for Preventing Family Violence
Linda Burney MP,21/08/2018,,Shadow Minister for Families and Social Services
Linda Burney MP,21/08/2018,,Shadow Minister for Housing and Homelessness (House)
Linda Burney MP,21/08/2018,,Shadow Minister for Disability and Carers (House)
Pat Conroy MP,06/12/2017,,Shadow Assistant Minister for Infrastructure
Pat Conroy MP,06/12/2017,,Shadow Assistant Minister for Climate Change and Energy
Clare O'Neil MP,06/12/2017,,Shadow Minister for Justice
Clare O'Neil MP,21/08/2018,,Shadow Minister for Financial Services
Lisa Chesters MP,06/12/2017,,Shadow Assistant Minister for Workplace Relations
Lisa Chesters MP,06/12/2017,,Shadow Assistant Minister for Rural and Regional Australia
Mike Kelly AM MP,06/12/2017,,Shadow Assistant Minister for Defence Industry and Support
Nick Champion MP,06/12/2017,,Shadow Assistant Minister for Manufacturing and Science
Senator Deborah O'Neill,06/12/2017,,Shadow Assistant Minister for Innovation
Senator Deborah O'Neill,06/12/2017,,Shadow Minister for Communications (Senate)
Senator Deborah O'Neill,06/12/2017,,Shadow Minister for Ageing and Mental Health (Mental Health)
Senator Deborah O'Neill,06/12/2017,,Shadow Assistant Minister for Mental Health
Senator Deborah O'Neill,21/08/2018,,Shadow Minister for Financial Services (Senate)
Senator Deborah O'Neill,21/08/2018,,Shadow Minister for Consumer Affairs (Senate)
Senator Deborah O'Neill,21/08/2018,,Shadow Minister Assisting for Small Business (Senate)
Senator Deborah O'Neill,18/02/2019,,Shadow Minister for Education and Training (Senate)
Senator Deborah O'Neill,18/02/2019,,Manager of Opposition Business in the Senate
Senator Deborah O'Neill,18/02/2019,,Shadow Minister for Early Childhood Education and Development (Senate)
Madeleine King MP,21/08/2018,,Shadow Minister for Consumer Affairs
Madeleine King MP,21/08/2018,,Shadow Minister Assisting for Small Business
Madeleine King MP,21/08/2018,,Shadow Minister Assisting for Resources
Senator Jenny McAllister,21/08/2018,,Shadow Assistant Minister for Families and Communities
Senator Jenny McAllister,21/08/2018,,Shadow Minister for Climate Change and Energy
Senator Glenn Sterle,21/08/2018,,"Shadow Minister for Infrastructure, Transport, Cities and Regional Development (Senate)"
Senator Glenn Sterle,21/08/2018,,"Shadow Minister for Regional Services, Territories and Local Government (Senate)"
Senator Glenn Sterle,21/08/2018,,Shadow Assistant Minister for Road Safety
